,Method,Heteroscedastic,Outliers,Norm,Uniform+,Uniform-,Uniform+-
count,intersection_union_all,300.00,300.00,300.00,300.00,300.00,300.00
count,intersection_union_distance,300.00,300.00,300.00,300.00,300.00,300.00
count,intersection_union_sample,300.00,300.00,300.00,300.00,300.00,300.00
count,ratio,300.00,300.00,300.00,300.00,300.00,300.00
count,ratio-diff,300.00,300.00,300.00,300.00,300.00,300.00
count,ratio-diff-signed,300.00,300.00,300.00,300.00,300.00,300.00
count,ratio-signed,300.00,300.00,300.00,300.00,300.00,300.00
mean,intersection_union_all,0.24,0.50,0.29,0.29,0.29,0.32
mean,intersection_union_distance,34.40,230.34,53.41,15.67,16.40,71.00
mean,intersection_union_sample,0.32,0.45,0.39,0.39,0.40,0.45
mean,ratio,0.70,0.74,0.81,0.82,0.82,0.91
mean,ratio-diff,0.22,0.20,0.14,0.13,0.13,0.06
mean,ratio-diff-signed,0.08,0.09,0.07,0.06,0.06,0.04
mean,ratio-signed,0.59,0.66,0.75,0.77,0.77,0.89
std,intersection_union_all,0.10,0.15,0.05,0.05,0.05,0.06
std,intersection_union_distance,51.21,238.44,32.61,9.41,9.93,11.93
std,intersection_union_sample,0.10,0.12,0.06,0.06,0.06,0.07
std,ratio,0.12,0.06,0.08,0.08,0.08,0.05
std,ratio-diff,0.09,0.04,0.06,0.06,0.06,0.04
std,ratio-diff-signed,0.06,0.05,0.04,0.04,0.04,0.02
std,ratio-signed,0.15,0.06,0.11,0.11,0.11,0.06
min,intersection_union_all,0.01,0.17,0.17,0.16,0.15,0.16
min,intersection_union_distance,2.91,3.24,0.43,0.05,0.03,39.55
min,intersection_union_sample,0.01,0.26,0.22,0.21,0.23,0.25
min,ratio,0.45,0.61,0.65,0.55,0.61,0.79
min,ratio-diff,0.06,0.12,0.04,0.03,0.03,0.00
min,ratio-diff-signed,-0.03,-0.01,0.00,-0.01,-0.01,0.00
min,ratio-signed,0.12,0.40,0.57,0.52,0.43,0.75
25%,intersection_union_all,0.20,0.41,0.25,0.26,0.25,0.27
25%,intersection_union_distance,6.12,90.38,26.63,7.74,8.46,62.14
25%,intersection_union_sample,0.26,0.36,0.34,0.35,0.36,0.40
25%,ratio,0.59,0.69,0.72,0.73,0.73,0.87
25%,ratio-diff,0.14,0.15,0.07,0.06,0.06,0.03
25%,ratio-diff-signed,0.02,0.04,0.04,0.03,0.03,0.03
25%,ratio-signed,0.45,0.62,0.65,0.68,0.68,0.85
50%,intersection_union_all,0.24,0.53,0.28,0.29,0.28,0.32
50%,intersection_union_distance,11.97,163.32,52.17,14.72,15.83,70.38
50%,intersection_union_sample,0.33,0.40,0.38,0.39,0.39,0.45
50%,ratio,0.70,0.71,0.82,0.82,0.82,0.91
50%,ratio-diff,0.22,0.21,0.14,0.14,0.14,0.06
50%,ratio-diff-signed,0.10,0.10,0.05,0.04,0.04,0.04
50%,ratio-signed,0.65,0.65,0.74,0.73,0.73,0.90
75%,intersection_union_all,0.28,0.61,0.32,0.33,0.32,0.36
75%,intersection_union_distance,37.48,289.29,75.44,22.65,23.64,78.42
75%,intersection_union_sample,0.39,0.54,0.43,0.43,0.44,0.50
75%,ratio,0.81,0.82,0.89,0.91,0.90,0.95
75%,ratio-diff,0.31,0.23,0.20,0.19,0.19,0.09
75%,ratio-diff-signed,0.13,0.12,0.11,0.12,0.12,0.06
75%,ratio-signed,0.69,0.72,0.87,0.90,0.90,0.94
max,intersection_union_all,0.70,0.73,0.52,0.42,0.48,0.51
max,intersection_union_distance,296.12,"1,748.19",135.27,37.48,45.33,105.18
max,intersection_union_sample,0.63,0.72,0.57,0.54,0.60,0.63
max,ratio,0.92,0.84,0.94,0.95,0.95,1.00
max,ratio-diff,0.41,0.30,0.27,0.38,0.35,0.15
max,ratio-diff-signed,0.19,0.18,0.14,0.14,0.15,0.11
max,ratio-signed,0.91,0.75,0.94,0.95,0.95,1.00
